Kingdom,Phylum,Subphylum,Class,Subclass,Order,Family,Genus,Species,Subspecies
Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,(No subclass),Erysiphales,Erysiphaceae,Blumeria,Blumeria graminis,
Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,(No subclass),Erysiphales,Erysiphaceae,Golvinomyces,,
Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,(No subclass),Erysiphales,Erysiphaceae,Podosphaera,,
Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,(No subclass),Erysiphales,Erysiphaceae,Sphaerotheca,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Chetomiaceae,Chaetomium,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Sordariaceae,Neurospora,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Ophiostomatales,Ophiostomataceae,Ophiostoma,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Metacordyceps,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Cordyceps,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Microascales,Ceratocystidaceae,Ceratocystis,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Xylariaceae,Xylaria,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Incertae Sedis,Meliolaes,Meliolaceae,Meliola,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Incertae Sedis,Phyllachorales,Phyllachoraceae,Phyllachora,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Incertae Sedis,Magnaporthales,Magnaporthacaeae,Magnaporthe,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Incertae Sedis,Glomerellales,Glomerellaceae,Glomerella,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Blastomycetes (Imperfect Yeasts),(No subclass),(No order),(No family),Candida,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Blastomycetes (Imperfect Yeasts),(No subclass),(No order),(No family),Cryptococcus,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Blastomycetes (Imperfect Yeasts),(No subclass),(No order),(No family),Sporobolomyces,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Alternaria,Alternaria solani,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Botrytis,Botrytis cinerea,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Cercospora,Cercospora arachidicola,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Cercospora,Cercospora personata,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Curvularia,Curvularia lunata,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Fusarium,Fusarium oxysporum,Fusarium oxysporum f.sp. lycopersici
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Fusarium,Fusarium oxysporum,Fusarium oxysporum f.sp. cubense
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Fusarium,Fusarium oxysporum,Fusarium oxysporum f.sp. vasinfectum
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Fusarium,Fusarium solani,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Helminthosporium,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Lemonniera,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Monilia,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),(No subclass),(No order),(No family),Nigrospora,,
