Kingdom,Phylum,Subphylum,Class,Subclass,Order,Family,Genus,Species,Subspecies
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Sordariaceae,Neurospora,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Ophiostomatales,Ophiostomataceae,Ophiostoma,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Metacordyceps,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Cordycipitaceae,Cordyceps,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Microascales,Ceratocystidaceae,Ceratocystis,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Xylariaceae,Xylaria,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Incertae Sedis,Meliolaes,Meliolaceae,Meliola,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Incertae Sedis,Phyllachorales,Phyllachoraceae,Phyllachora,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Incertae Sedis,Magnaporthales,Magnaporthacaeae,Magnaporthe,,
Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Incertae Sedis,Glomerellales,Glomerellaceae,Glomerella,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Blastomycetes (Imperfect Yeasts),,,(No family),Candida,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Blastomycetes (Imperfect Yeasts),,,(No family),Cryptococcus,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Blastomycetes (Imperfect Yeasts),,,,Sporobolomyces,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Alternaria,Alternaria solani,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Botrytis,Botrytis cinerea,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Cercospora,Cercospora arachidicola,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Cercospora,Cercospora personata,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Curvularia,Curvularia lunata,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Fusarium,Fusarium oxysporum,Fusarium oxysporum f.sp. lycopersici
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Fusarium,Fusarium oxysporum,Fusarium oxysporum f.sp. cubense
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Fusarium,Fusarium oxysporum,Fusarium oxysporum f.sp. vasinfectum
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Fusarium,Fusarium solani,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Helminthosporium,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Lemonniera,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Monilia,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Nigrospora,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Pyricularia,Pyricularia oryzae,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Rhizoctonia,Rhizoctonia solani,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Trichothecium,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Hyphomycetes (Hyphomycetous Fungi),,,,Verticillium,Verticilium dahliae,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Melanconiales (Acervular Imperfect Fungi),,Colletotrichum,Colletotrichum falcatum,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Melanconiales (Acervular Imperfect Fungi),,Colletotrichum,Colletotrichum capsici,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Melanconiales (Acervular Imperfect Fungi),,Colletotrichum,Colletotrichum gloeosporioides,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Melanconiales (Acervular Imperfect Fungi),,Pestalotiopsis,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Melanconiales (Acervular Imperfect Fungi),,Sphaceloma,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Sphaeropsidales (Pycnidial Imperfect Fungi),,Ascochyta,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Sphaeropsidales (Pycnidial Imperfect Fungi),,Lasiodiplodia,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Sphaeropsidales (Pycnidial Imperfect Fungi),,Diplodia,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Sphaeropsidales (Pycnidial Imperfect Fungi),,Phyllosticta,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Sphaeropsidales (Pycnidial Imperfect Fungi),,Phoma,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Sphaeropsidales (Pycnidial Imperfect Fungi),,Phomopsis,,
Fungi,Anamorphic Fungi (Deuteromycetes),Deuteromycotina,Coelomycetes (Acervular and Pycnidial Imperfect Fungi),,Sphaeropsidales (Pycnidial Imperfect Fungi),,Septoria,,
